trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
959,False,"{'a': 0.1, 'e': 0.018574866188582628}",20,12,15.259911364016563,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
960,False,"{'a': 0.1, 'e': 0.08133412338895851}",20,13,4.9406741141004575,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
961,False,"{'a': 0.1, 'e': 0.18043044929108393}",25,15,-6.685130008033927,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
962,False,"{'a': 0.1, 'e': 0.27772397378628366}",25,0,17.74594409697427,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
963,False,"{'a': 0.1, 'e': 0.3722425721387373}",30,8,-74.27752025944184,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 1}",1
964,False,"{'a': 0.1, 'e': 0.46304184575742857}",20,14,-22.46867560397798,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
965,False,"{'a': 0.1, 'e': 0.5492145583145831}",20,0,-25.853984638496083,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
966,False,"{'a': 0.1, 'e': 0.6298997005512549}",20,0,-35.02627536222333,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
967,False,"{'a': 0.1, 'e': 0.7042910931971872}",25,3,-59.9171094509985,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 0}",1
968,False,"{'a': 0.1, 'e': 0.7716454420475659}",25,11,-16.165863866507635,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
969,False,"{'a': 0.1, 'e': 0.8312897647130846}",20,5,-44.185796605695565,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 1}",1
